GENE,Num Expt,Total,Max SC,Ave SC,Frequency
ATP5B,145,343,106,8.4,42.3
DDX3X,144,343,87,8.7,42.0
HNRNPAB,144,343,20,3.2,42.0
KRT3,144,343,62,9.3,42.0
KRT35,144,343,62,5.3,42.0
SNRPD1,144,343,63,7.8,42.0
CSDA,143,343,64,5.3,41.7
DHX9,143,343,169,13.1,41.7
KRT31,143,343,83,6.1,41.7
RPS2,143,343,52,6.7,41.7
RPS6,143,343,63,5.6,41.7
ALB,142,343,93,10.9,41.4
KRT33B,142,343,63,5.7,41.4
RPL27A,142,343,19,3.3,41.4
RPS19,142,343,58,6.2,41.4
SLC25A6,142,343,47,5.9,41.4
KRT32,141,343,62,5.1,41.1
RPS3A,141,343,47,8.1,41.1
PRDX2,140,343,54,4.2,40.8
RPL12,140,343,30,5.1,40.8
EEF2,139,343,219,11.8,40.5
MYH9,139,343,670,27.4,40.5
RPL18,139,343,64,5.6,40.5
YBX2,139,343,29,3.7,40.5
KRT36,138,343,62,5.1,40.2
KRT37,138,343,62,4.9,40.2
KRT38,138,343,62,4.9,40.2
RPS7,138,343,27,4.7,40.2
DDX3Y,136,343,66,6.2,39.7
PRMT5,136,343,2950,197.6,39.7
SLC25A4,136,343,40,4.8,39.7
RPL24,135,343,22,3.7,39.4
SRSF3,135,343,14,3.5,39.4
CFL1,133,343,30,3.4,38.8
HNRNPL,133,343,236,9.5,38.8
RPL17,133,343,29,4.6,38.8
RPL22,133,343,26,3.1,38.8
RPL7,133,343,66,7.4,38.8
SFPQ,133,343,336,17.2,38.8
SYNCRIP,133,343,97,6.3,38.8
RPS10,132,343,25,4.7,38.5
FUS,131,343,129,14.6,38.2
PPIA,131,343,44,5.0,38.2
RPS27,131,343,28,2.9,38.2
RBM10,130,343,240,21.7,37.9
RPLP1,130,343,35,4.1,37.9
SRSF7,130,343,34,3.7,37.9
HNRNPR,129,343,173,7.4,37.6
YWHAE,129,343,37,6.2,37.6
PCBP1,128,343,108,8.1,37.3
STK38,128,343,381,48.5,37.3
EEF1G,127,343,41,5.0,37.0
HNRNPC,127,343,57,7.6,37.0
MYL6,126,343,42,3.9,36.7
PCBP2,126,343,53,5.3,36.7
SNRPD3,126,343,152,8.4,36.7
TCP1,126,343,106,9.9,36.7
THOC4,126,343,38,5.7,36.7
RPL31,125,343,21,3.0,36.4
SNRPB,125,343,196,13.2,36.4
SNRPN,125,343,196,13.2,36.4
WDR77,125,343,1143,75.8,36.4
CCT4,124,343,62,7.9,36.2
CLTC,124,343,234,12.1,36.2
EIF4A1,124,343,87,7.8,36.2
HNRNPA3,124,343,43,4.4,36.2
RBMX,124,343,68,8.4,36.2
RPL6,124,343,249,11.5,36.2
THRAP3,124,343,176,16.7,36.2
XRCC5,124,343,71,6.3,36.2
DDX21,123,343,75,9.8,35.9
HIST1H2BA,123,343,45,6.0,35.9
SPTAN1,123,343,239,24.8,35.9
CCT8,122,343,82,11.1,35.6
RPS24,122,343,36,4.1,35.6
TRIM21,122,343,473,36.5,35.6
TXN,122,343,10,2.4,35.6
CCT5,121,343,62,10.7,35.3
HSP90B1,121,343,96,10.9,35.3
PRPH,121,343,98,5.3,35.3
RPL27,121,343,42,3.5,35.3
RPL8,121,343,42,5.9,35.3
RPS13,120,343,17,4.3,35.0
CCT2,119,343,95,12.1,34.7
PARP1,119,343,151,12.4,34.7
RPS15A,119,343,36,5.8,34.7
RPS17,119,343,42,5.4,34.7
RPS17L,119,343,42,5.4,34.7
RPS28,119,343,14,2.0,34.7
RPL35,118,343,56,3.5,34.4
SLC25A31,118,343,13,2.6,34.4
SNRPD2,118,343,40,5.8,34.4
ALDOA,117,343,72,6.2,34.1
CCT6A,117,343,65,8.3,34.1
PABPC1,117,343,104,8.7,34.1
RPL29,117,343,65,2.8,34.1
MATR3,116,343,96,10.6,33.8
RPS20,116,343,15,3.4,33.8
RPS27L,116,343,18,2.4,33.8
SPTBN1,116,343,232,25.2,33.8
YWHAZ,116,343,26,4.3,33.8
CCT3,115,343,65,8.2,33.5
MYH10,115,343,205,14.5,33.5
RBMXL1,115,343,53,6.3,33.5
VCP,115,343,110,15.3,33.5
PRKDC,114,343,175,15.7,33.2
RPL9,114,343,68,6.1,33.2
RPS9,114,343,35,6.2,33.2
XRCC6,114,343,71,7.6,33.2
CKB,113,343,99,8.2,32.9
RPL14,113,343,33,4.7,32.9
RPL3,113,343,142,10.5,32.9
SF3B3,113,343,224,14.2,32.9
EIF4A2,112,343,37,5.0,32.7
IRS4,112,343,105,8.0,32.7
KIF11,112,343,670,49.8,32.7
RPS5,112,343,18,3.6,32.7
SUB1,112,343,22,5.2,32.7
BCLAF1,111,343,106,14.9,32.4
CCT7,111,343,71,8.7,32.4
EIF4B,111,343,174,19.0,32.4
TRIM28,111,343,50,6.4,32.4
CLNS1A,110,343,289,25.5,32.1
EEF1B2,110,343,20,3.0,32.1
LUC7L2,110,343,106,13.9,32.1
PTBP1,110,343,106,8.0,32.1
RPL38,110,343,49,6.4,32.1
FASN,109,343,368,21.5,31.8
LDHB,109,343,92,8.0,31.8
TAF15,109,343,35,4.9,31.8
ENO3,108,343,26,3.9,31.5
FLNB,108,343,121,7.4,31.5
ILF2,108,343,53,5.6,31.5
PRPF31,108,343,116,9.0,31.5
RPL5,108,343,55,6.3,31.5
SERBP1,108,343,28,5.8,31.5
SF3B1,108,343,142,14.6,31.5
RPS23,107,343,28,4.3,31.2
DHX15,106,343,172,12.9,30.9
ENO2,106,343,26,3.9,30.9
FAU,106,343,11,2.2,30.9
DES,105,343,80,5.5,30.6
KPNA2,105,343,36,4.5,30.6
RPL15,105,343,26,5.8,30.6
RPL26,105,343,22,4.9,30.6
MYL12B,104,343,77,3.7,30.3
RBM39,104,343,66,9.3,30.3
MYL12A,103,343,77,3.7,30.0
RPSA,103,343,55,5.1,30.0
ILF3,102,343,99,10.2,29.7
RPL13A,102,343,65,5.3,29.7
RPL26L1,102,343,19,4.4,29.7
RPS26,102,343,14,2.6,29.7
RPS4Y1,102,343,27,4.9,29.7
CAD,101,343,88,6.9,29.4
KRT7,101,343,146,8.0,29.4
PCBP3,101,343,46,4.2,29.4
PRDX4,101,343,30,2.4,29.4
RPL10,101,343,36,5.7,29.4
RPS11,101,343,22,4.6,29.4
HNRNPA0,100,343,31,3.2,29.2
KRT73,100,343,33,4.4,29.2
KRT74,100,343,33,4.3,29.2
PHGDH,100,343,40,5.2,29.2
STK38L,100,343,296,27.7,29.2
CFL2,99,343,15,2.6,28.9
EWSR1,99,343,339,23.0,28.9
FBL,99,343,26,3.8,28.9
CALM1,98,343,213,6.5,28.6
CALM2,98,343,213,6.5,28.6
CALM3,98,343,213,6.5,28.6
EFTUD2,98,343,82,11.6,28.6
HNRNPCL1,98,343,22,4.0,28.6
KPNB1,98,343,62,6.9,28.6
MYH11,98,343,40,5.4,28.6
NEFH,98,343,19,3.2,28.6
PKLR,98,343,13,1.8,28.6
RPL21,98,343,37,4.7,28.6
EEF1D,97,343,22,3.3,28.3
KRT84,97,343,20,3.9,28.3
PPM1B,97,343,178,16.8,28.3
RPS4Y2,97,343,33,4.8,28.3
PRDX6,96,343,22,3.6,28.0
PRPF8,96,343,117,17.2,28.0
TAGLN2,96,343,14,3.2,28.0
KRT20,95,343,19,4.0,27.7
NME1-NME2,95,343,30,5.5,27.7
NME2,95,343,30,5.5,27.7
SKP1,95,343,63,3.8,27.7
SRSF1,95,343,61,7.6,27.7
NAP1L1,94,343,17,3.3,27.4
RPS12,94,343,16,3.8,27.4
SRSF2,94,343,7,2.1,27.4
EPRS,93,343,68,6.8,27.1
ERH,93,343,92,5.9,27.1
PABPC4,93,343,72,7.3,27.1
PCMT1,93,343,53,5.9,27.1
PFN1,93,343,26,4.5,27.1
PUF60,93,343,88,13.2,27.1
RCN2,93,343,20,3.4,27.1
HRNR,92,343,71,8.5,26.8
RBBP4,92,343,15,2.7,26.8
SET,92,343,26,3.9,26.8
TRIM61,92,343,80,6.0,26.8
YWHAQ,92,343,91,4.1,26.8
CMBL,91,343,47,7.9,26.5
DDX6,91,343,54,5.1,26.5
RBBP7,91,343,20,2.6,26.5
RPL10A,91,343,39,7.2,26.5
ANXA2,90,343,54,6.2,26.2
FLNC,90,343,132,9.1,26.2
RAN,90,343,34,3.6,26.2
TPM3,90,343,45,4.0,26.2
ACTN4,89,343,206,15.6,25.9
DSP,89,343,237,18.8,25.9
RPS15,89,343,25,5.1,25.9
RUVBL2,89,343,21,4.1,25.9
YWHAB,89,343,15,4.3,25.9
HIST1H3A,88,343,30,5.1,25.7
HIST1H3B,88,343,30,5.1,25.7
HIST1H3C,88,343,30,5.1,25.7
HIST1H3D,88,343,30,5.1,25.7
HIST1H3E,88,343,30,5.1,25.7
HIST1H3F,88,343,30,5.1,25.7
HIST1H3G,88,343,30,5.1,25.7
HIST1H3H,88,343,30,5.1,25.7
HIST1H3I,88,343,30,5.1,25.7
HIST1H3J,88,343,30,5.1,25.7
HNRPDL,88,343,20,3.4,25.7
LDHA,88,343,58,5.8,25.7
ATXN2L,87,343,113,11.3,25.4
EIF4A3,87,343,43,8.5,25.4
HIST2H3A,87,343,39,5.2,25.4
HIST2H3C,87,343,39,5.2,25.4
HIST2H3D,87,343,39,5.2,25.4
RUVBL1,86,343,22,4.0,25.1
U2AF2,86,343,12,3.4,25.1
IVNS1ABP,85,343,49,8.4,24.8
MYL6B,85,343,6,1.6,24.8
NME1,85,343,22,4.6,24.8
SRRM2,85,343,284,31.7,24.8
DDX39A,84,343,32,4.3,24.5
DDX39B,84,343,38,5.7,24.5
DYNC1H1,84,343,121,9.3,24.5
H3F3A,84,343,30,4.7,24.5
H3F3B,84,343,30,4.7,24.5
HIST3H3,84,343,30,4.3,24.5
PPP2R1A,84,343,28,3.4,24.5
SRSF6,84,343,60,5.1,24.5
CPSF6,83,343,21,3.7,24.2
G3BP1,83,343,84,7.3,24.2
H1FX,83,343,17,3.1,24.2
PABPC3,83,343,56,4.9,24.2
DARS,82,343,35,3.7,23.9
SNRNP200,82,343,112,19.5,23.9
TUFM,82,343,53,6.2,23.9
EPPK1,81,343,224,10.6,23.6
H3F3C,81,343,26,3.6,23.6
PRPS1,81,343,54,10.4,23.6
TPM4,81,343,19,3.1,23.6
KHDRBS1,80,343,53,3.8,23.3
PDIA6,80,343,29,4.8,23.3
PPIB,80,343,29,6.9,23.3
RPL30,80,343,18,4.4,23.3
SF3B2,80,343,83,10.7,23.3
SPIN1,80,343,39,6.2,23.3
SRSF4,80,343,28,3.2,23.3
CSE1L,79,343,54,6.2,23.0
LUC7L3,79,343,18,5.7,23.0
PSMD2,79,343,36,4.8,23.0
RPL35A,79,343,22,3.6,23.0
SLC25A3,79,343,49,5.0,23.0
DBT,78,343,68,21.4,22.7
DNAJA1,78,343,15,3.4,22.7
IGF2BP1,78,343,50,6.2,22.7
KRT72,78,343,24,4.2,22.7
LUC7L,78,343,42,5.3,22.7
PRDX3,78,343,8,2.3,22.7
PRPS2,78,343,44,9.5,22.7
RPL36,78,343,9,2.8,22.7
ACTN1,77,343,117,9.2,22.4
RBM14,77,343,84,8.9,22.4
YWHAG,77,343,50,3.6,22.4
LRPPRC,76,343,81,9.6,22.2
MYH14,76,343,30,3.7,22.2
PRMT1,76,343,30,4.1,22.2
CALR,75,343,24,3.5,21.9
CANX,75,343,19,4.3,21.9
CAPZA1,75,343,13,3.2,21.9
DDX1,75,343,34,6.0,21.9
GNB2L1,75,343,47,5.5,21.9
GTF2I,75,343,52,9.0,21.9
LARS,75,343,62,5.3,21.9
PPP1CA,75,343,40,5.3,21.9
PPP1CC,75,343,38,4.8,21.9
RPL18A,75,343,37,7.3,21.9
SF3A1,75,343,70,8.1,21.9
TPI1,75,343,48,5.6,21.9
C11orf84,74,343,19,4.7,21.6
EIF3I,74,343,20,3.9,21.6
PPM1A,74,343,50,6.0,21.6
RIOK1,74,343,141,14.5,21.6
TPM1,74,343,21,2.7,21.6
CIRBP,73,343,19,6.2,21.3
DDX50,73,343,22,3.9,21.3
HSPA4,73,343,58,7.5,21.3
KRT222,73,343,10,2.8,21.3
LSM14A,73,343,30,5.5,21.3
RPL37A,73,343,19,4.0,21.3
SRSF5,73,343,15,2.4,21.3
TIMM50,73,343,45,3.3,21.3
TPM2,73,343,18,2.7,21.3
UBAP2L,73,343,39,7.2,21.3
CLTCL1,72,343,47,4.1,21.0
JUP,72,343,46,7.2,21.0
MCM7,72,343,59,5.4,21.0
NACA,72,343,6,2.0,21.0
P4HB,72,343,60,4.6,21.0
PPP1CB,72,343,29,4.6,21.0
KHSRP,71,343,45,6.5,20.7
MDH2,71,343,37,5.5,20.7
MTHFD1,71,343,106,7.1,20.7
NUDT21,71,343,20,3.4,20.7
CAPZB,70,343,21,3.9,20.4
MYBBP1A,70,343,37,6.0,20.4
PRPF19,70,343,33,7.2,20.4
ARL6IP4,69,343,59,9.0,20.1
C22orf28,69,343,30,4.5,20.1
DDB1,69,343,52,4.7,20.1
KIAA1967,69,343,72,5.9,20.1
LMNB1,69,343,106,9.8,20.1
MCM3,69,343,63,5.7,20.1
RPL10L,69,343,15,3.5,20.1
RPL28,69,343,20,5.1,20.1
TMPO,69,343,42,6.0,20.1
CAPRIN1,68,343,44,5.7,19.8
EIF5A,68,343,9,2.4,19.8
MARS,68,343,29,4.0,19.8
PC,68,343,245,32.8,19.8
PLEC,68,343,558,47.3,19.8
STIP1,68,343,31,5.5,19.8
ATP1A1,67,343,96,7.8,19.5
CORO1C,67,343,55,5.5,19.5
FLG2,67,343,35,4.2,19.5
KRT78,67,343,32,4.9,19.5
PHB2,67,343,47,4.9,19.5
PSMC2,67,343,13,3.0,19.5
SFN,67,343,7,2.3,19.5
U2AF1,67,343,14,2.9,19.5
ACLY,66,343,118,9.5,19.2
DDX46,66,343,66,17.9,19.2
EIF3A,66,343,56,4.6,19.2
HDAC2,66,343,19,2.0,19.2
HNRNPUL1,66,343,63,10.4,19.2
KRT71,66,343,19,3.7,19.2
PSMD3,66,343,34,4.3,19.2
AHCY,65,343,45,4.9,19.0
ELAVL1,65,343,19,5.1,19.0
HMGB1,65,343,16,3.8,19.0
PRPSAP2,65,343,42,8.9,19.0
SNRPA1,65,343,38,3.7,19.0
WARS,65,343,39,3.8,19.0
YWHAH,65,343,9,2.5,19.0
DSG1,64,343,53,8.7,18.7
MCCC2,64,343,217,18.8,18.7
PRPS1L1,64,343,26,5.7,18.7
RPS21,64,343,12,2.2,18.7
SNRPE,64,343,11,2.4,18.7
EIF3C,63,343,28,3.7,18.4
EIF3CL,63,343,26,3.7,18.4
GANAB,63,343,100,7.1,18.4
MCM5,63,343,34,4.2,18.4
MYL9,63,343,48,3.2,18.4
PDIA3,63,343,46,5.4,18.4
PTS,63,343,36,4.5,18.4
SF3A3,63,343,25,4.4,18.4
SSBP1,63,343,14,2.7,18.4
UBA1,63,343,153,11.0,18.4
AIFM1,62,343,38,5.6,18.1
BAG2,62,343,20,2.9,18.1
EIF3B,62,343,42,4.9,18.1
IARS,62,343,65,5.4,18.1
MAP1B,62,343,184,18.0,18.1
MCM4,62,343,42,4.9,18.1
MRPL12,62,343,16,2.4,18.1
PSMC3,62,343,21,3.2,18.1
RARS,62,343,34,4.1,18.1
RBMXL2,62,343,12,3.0,18.1
RNPS1,62,343,16,3.4,18.1
SLC25A10,62,343,16,2.4,18.1
CCT6B,61,343,11,3.0,17.8
EIF3F,61,343,12,2.6,17.8
HNRNPH3,61,343,16,3.8,17.8
MCM2,61,343,68,5.9,17.8
NOLC1,61,343,33,3.4,17.8
PSMC5,61,343,19,4.2,17.8
SNRNP70,61,343,52,5.0,17.8
HSPH1,60,343,25,3.4,17.5
MYO1C,60,343,69,11.7,17.5
SRSF9,60,343,18,4.9,17.5
U2SURP,60,343,135,8.7,17.5
HDAC1,59,343,16,2.0,17.2
NASP,59,343,24,5.0,17.2
NEFM,59,343,31,2.9,17.2
OAT,59,343,44,3.8,17.2
SF3B4,59,343,7,2.2,17.2
SND1,59,343,55,6.0,17.2
EZR,58,343,116,7.7,16.9
PCCB,58,343,263,21.1,16.9
PHB,58,343,34,4.1,16.9
PSMD11,58,343,12,3.1,16.9
SHMT2,58,343,41,5.0,16.9
C1orf35,57,343,26,5.4,16.6
DNAJA2,57,343,9,3.1,16.6
EIF5AL1,57,343,4,1.8,16.6
PCCA,57,343,333,21.2,16.6
RBMXL3,57,343,10,2.0,16.6
RCC2,57,343,23,3.4,16.6
RPL39,57,343,8,1.6,16.6
SSB,57,343,12,2.7,16.6
TOP1,57,343,60,10.1,16.6
C14orf166,56,343,15,3.3,16.3
C17orf79,56,343,14,2.7,16.3
DLD,56,343,19,3.9,16.3
EIF3E,56,343,30,3.4,16.3
EIF3L,56,343,23,3.8,16.3
HSPE1,56,343,6,1.7,16.3
INA,56,343,75,5.1,16.3
IQGAP1,56,343,55,5.3,16.3
PGAM1,56,343,28,4.1,16.3
PRSS3,56,343,38,3.9,16.3
PSMA7,56,343,12,2.6,16.3
RBM3,56,343,9,2.3,16.3
RPL34,56,343,12,3.2,16.3
RSL1D1,56,343,24,5.9,16.3
SNRPC,56,343,7,2.1,16.3
EIF2S1,55,343,8,2.5,16.0
EIF5A2,55,343,4,1.8,16.0
FKBP4,55,343,19,4.6,16.0
GCN1L1,55,343,105,8.5,16.0
IRGC,55,343,28,2.9,16.0
PCNA,55,343,21,4.2,16.0
PPP2CA,55,343,5,1.8,16.0
PPP2CB,55,343,5,1.8,16.0
PSMB5,55,343,22,3.2,16.0
PSMD1,55,343,31,4.3,16.0
RPL36A,55,343,29,3.2,16.0
GDI2,54,343,34,5.4,15.7
HSD17B10,54,343,22,4.0,15.7
LMNA,54,343,116,15.8,15.7
NUFIP2,54,343,50,5.7,15.7
PGK1,54,343,52,7.1,15.7
PSMA5,54,343,7,2.0,15.7
PSMA6,54,343,9,2.4,15.7
TBC1D4,54,343,82,6.8,15.7
ACTN2,53,343,21,3.9,15.5
ATAD3A,53,343,75,7.4,15.5
ATP1A3,53,343,57,4.8,15.5
CAPZA2,53,343,6,1.8,15.5
EIF1AX,53,343,13,2.7,15.5
EIF1AY,53,343,13,2.7,15.5
IGF2BP3,53,343,35,5.5,15.5
LSM12,53,343,13,2.0,15.5
NOP56,53,343,50,7.1,15.5
SNRPF,53,343,5,1.5,15.5
TRA2B,53,343,22,5.3,15.5
BUB3,52,343,10,2.4,15.2
EIF3G,52,343,14,3.0,15.2
EIF4G1,52,343,37,4.1,15.2
GART,52,343,45,4.9,15.2
MCM6,52,343,38,5.2,15.2
PA2G4,52,343,24,5.2,15.2
PSMA4,52,343,26,2.9,15.2
QARS,52,343,31,4.4,15.2
RPL32,52,343,32,5.7,15.2
SPIN3,52,343,15,3.6,15.2
TRAP1,52,343,43,4.9,15.2
ACTR1A,51,343,19,2.7,14.9
CAND1,51,343,61,5.2,14.9
DBN1,51,343,83,8.3,14.9
MCCC1,51,343,144,13.3,14.9
PIN4,51,343,26,7.0,14.9
PSMC1,51,343,11,2.8,14.9
QPCT,51,343,34,5.9,14.9
VARS,51,343,47,4.4,14.9
ARF1,50,343,12,3.9,14.6
CHERP,50,343,44,4.0,14.6
DCTN2,50,343,8,3.2,14.6
EIF6,50,343,11,2.7,14.6
HBB,50,343,9,2.2,14.6
HSPB1,50,343,25,6.9,14.6
PSMA1,50,343,9,2.7,14.6
PSMA2,50,343,11,2.5,14.6
PSMC4,50,343,15,3.1,14.6
PSMD12,50,343,9,2.7,14.6
RANBP1,50,343,4,1.5,14.6
RPL36AL,50,343,20,3.3,14.6
SNRPB2,50,343,11,2.0,14.6
SRSF10,50,343,15,3.6,14.6
TCOF1,50,343,73,11.5,14.6
XRN2,50,343,20,3.9,14.6
ZRANB2,50,343,8,3.2,14.6
ARF3,49,343,12,4.0,14.3
ATP1A2,49,343,42,4.3,14.3
CDKAL1,49,343,4,1.2,14.3
GRPEL1,49,343,24,3.2,14.3
MYCBP,49,343,21,4.1,14.3
PAICS,49,343,16,3.3,14.3
S100A9,49,343,13,3.5,14.3
SNRNP27,49,343,11,3.8,14.3
CAP1,48,343,48,6.4,14.0
GPI,48,343,62,6.4,14.0
IGF2BP2,48,343,51,4.6,14.0
LYZ,48,343,19,3.1,14.0
PGAM2,48,343,16,2.3,14.0
PPIL4,48,343,12,3.5,14.0
PRSS1,48,343,43,5.8,14.0
PSMA8,48,343,9,1.9,14.0
PSMB1,48,343,9,2.1,14.0
PSMD6,48,343,13,2.6,14.0
SRSF11,48,343,25,6.2,14.0
ST13,48,343,8,3.1,14.0
XPO1,48,343,51,5.1,14.0
ATP2A2,47,343,35,4.8,13.7
CBX3,47,343,20,3.3,13.7
CKAP5,47,343,31,4.4,13.7
COPA,47,343,58,4.5,13.7
